date,ticker,sentiment_neg,sentiment_neu,sentiment_pos
2020-01-01,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-02,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-03,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-04,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-05,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-06,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-07,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-08,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-09,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-10,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-11,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-12,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-13,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-14,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-15,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-16,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-17,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-18,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-19,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-20,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-21,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-22,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-23,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-24,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-25,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-26,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-27,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-28,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-29,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-30,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-31,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-01,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-02,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-03,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-04,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-05,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-06,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-07,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-08,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-09,AAPL,0.3333333333333333,0.3333333333333333,0.3333333333333333
